"question","choice1","choice2","choice3","choice4","choice5","answer"
"PLC'nin (product life cycle) hangi aþamasý, tüketici farkýndalýðý yaratma çabalarýnýn sonucu olarak yüksek tanýtým harcamalarýyla karakterize edilir?","büyüme ( growth)","ürün geliþtirme(product development)","olgunluk(maturity)","tanýtým(introduction)","düþüþ(decline)","D"
"Tüketicilerin genellikle sýk sýk, hemen ve karþýlaþtýrma yapmadan az bir çaba harcayarak satýn aldýðý tüketici ürünleri ve hizmetleri ________ olarak adlandýrýlýr.","Aranmayan ürünler (Unsought products)","Özel ürünler (specialty)","Alýþveriþ ürünleri (Shopping products)","Kolaylýk ürünleri (Convenience products)","Malzemeler ve onarým hizmetleri ( Supplies and repair services)","D"
"Erica eski çamaþýr makinesini yenisiyle deðiþtirmek istiyor. Para karþýlýðý en yüksek deðeri almak için gerçek satýn alma iþlemi öncesinde bilgi toplama ve ürün karþýlaþtýrmalarý yapmak için önemli bir zaman ve çaba harcamayý planlýyor. Bu durumda Erica bir ________ ürünü satýn almayý planlýyor.","kolaylýk(convience)","aranmayan(unsought)","özel(special)","alýþveriþ(shopping)","özel olarak tasarlanmýþ(exclusive)","D"
"Son birkaç yýl içinde, Binney and Smith'in Crayola boya kalemleri dünya çapýnda 80'den fazla ülkeye yayýlmýþtýr. Crayola boya kalemleri PLC'nin ________ aþamasýndadýr.","tanýtým - introduction","geri kalmýþ - laggard","olgunluk - maturity","düþüþ - decline","kuluçka - incubation","C"
"Bir ürün olgunluk aþamasýndayken, þirket muhtemelen aþaðýdakileri düþünmelidir:","Ürünü veya pazarý hasat etmek","Ürünü, pazarý veya pazarlama karmasýný deðiþtirmek","Ürün hattýný elden çýkarmak","Þirketin varlýklarýný likide etmek","Ürünü pazar tekliflerinden çýkarmak","B"
"Which stage in the product life cycle is characterized by rapid market acceptance and increasing profits?","introduction","maturity","growth","decline","product development","C"
"________ is the product life cycle period when sales fall off and profits drop.","Introduction","Growth","Maturity","Decline","Product development","D"
"________ is the product life cycle period when sales growth slows because the product has achieved acceptance. Profits level off because marketing costs increase in the face of competition.","Decline","Maturity","Product development","Introduction","Growth","B"
"Which of the following stages of the PLC is characterized with high promotional expenditures that result from an effort to create consumer awareness?","growth","product development","maturity","introduction","decline","D"
"Most products in the marketplace are in the ________ stage of the product life cycle.","growth","decline","maturity","introduction","development","C"
"When Kraft focused on cost cutting with its older, established brands, leaving them to wither without much investment or modification, Kraft decided to ________ the older products.","extend","modify","drop","harvest","analyze","D”
"Fiyat ile ilgili aþaðýdakilerden hangisi doðrudur?","Tarihsel olarak, fiyat alýcý seçimine en az etki eden faktördür.","Fiyat, pazarlama karýþýmýndaki en az esnek öðedir.","Ürün özellikleri ve kanal taahhütleri gibi, fiyatlar hýzlý bir þekilde deðiþtirilemez.","Fiyat, müþterilerin bir ürüne sahip olmak için verdikleri tüm deðerlerin toplamýdýr.","Fiyatlar sadece bir firmanýn net karý üzerinde dolaylý bir etkiye sahiptir.","D"
"Ürün taban fiyatý için belirleyici olan aþaðýdakilerden hangisidir?","Tüketicilerin ürünün deðerine iliþkin algýsý","Ürün maliyetleri","Rakiplerin stratejileri","Reklam bütçeleri","Piyasa rekabeti","B"
"Kellner Makine'nin toplam üretim maliyetleri 87.000 dolar olup bunun 45.000 dolarý sabit maliyetleri temsil eder. Þirket tarafýndan karþýlanan deðiþken maliyetler aþaðýdakilerden hangisidir?","35.000 dolar","42.000 dolar","45.000 dolar","87.000 dolar","132.000 dolar","A"
"Bir üretim tesisi, günlük 2000 düz ekran televizyon üretmek için tasarlanmýþtýr. Ancak talep daha yüksek. Þirket üretimini günlük 2500 televizyona çýkarmaya çalýþýrsa, ortalama maliyetler ________, çünkü ________.","azalacak; tesis daha verimli hale gelecek","ayný kalacak; tesis daha verimli hale gelecek","azalacak; tesis verimsiz hale gelecek","artacak; tesis daha verimli hale gelecek","artacak; tesis verimsiz hale gelecek","E"
"Samsung Mobile, bir birim maliyeti 270 dolar olan yeni bir telefon piyasaya sürmeyi planlýyor ve satýþlardan %10 kar elde etmek istiyor. Samsung'un kar majý (markup) fiyatý nedir?","$275","$280","$295","$300","$335","D"
"Kar marjý (Markup) fiyatlandýrmasý neden muhtemelen pratik deðildir?","Maliyetlerin dalgalanmasý nedeniyle hesaplama karmaþýktýr.","Fiyatý maliyete baðlamak, satýcýlarýn fiyatlandýrmayý basitleþtirmesine neden olur.","Endüstrideki tüm firmalarýn bu fiyatlandýrma yöntemini kullanmasýyla fiyatlar benzer olmaya eðilimlidir.","Bu yöntem talebi ve rakip fiyatlarýný göz ardý eder.","Standart bir markup ile tüketiciler, aþýrý fiyatlandýrýldýklarýný anlar.","D"
"Mansfield Ýlaçlarý, bir antibiyotik olan Zipro'yu pazarlamaktadýr. Firma sabit maliyeti 1.000.000 dolar ve 50 tablet içeren 1 þiþe için 10 dolar fiyat belirlemiþtir. Deðiþken maliyetleri ise þiþe baþýna 2 dolardýr. Firmanýn baþabaþ noktasý kaç adettir?","25,000","55,000","100,000","115,000","125,000","C"
"Kâr elde etme noktasý(break-even point), ________.","toplam gelir ve toplam maliyet eðrilerinin kesiþtiði noktadýr","talep arzý eþitler","bir birim daha üretimin talepte artýþa yol açmayacaðý noktadýr","þirketin tüm uzun vadeli borçlarýný ödeyebileceði noktadýr","bir firma satýþ tahminini aþarsa","A"
"Bir þirketin sabit maliyetleri 100.000 dolar ve deðiþken maliyetleri birim baþýna 8 dolardýr. Ürününü pazarda doðrudan 12 dolara satmayý planlýyor. Ne kadar üretip satmalýdýr ki kâr-elde etme noktasýna (break event point) ulaþsýn?","20,000","25,000","30,000","35,000","40,000","B"
"Aþaðýdakilerden hangisi saf rekabet piyasasýný (a pure competitive market )örnekler?","Tek bir piyasa fiyatý yerine bir dizi fiyat aralýðýnda birçok alýcý ve satýcýnýn iþlem yaptýðý bir pazar","Tek bir firma'nýn pazar payýnýn daha büyük bir kýsmýný kontrol ettiði bir pazar","Birkaç güçlü firmanýn daha büyük bir pazar payýný kontrol ettiði bir pazar","Sadece birkaç büyük satýcýnýn karakterize ettiði bir pazar","Birçok alýcýnýn ve satýcýnýn birbirine benzer bir emtia ile iþlem yaptýðý bir pazar.","E"
"Aþaðýdakilerden hangisi monopolistik rekabet hakkýnda doðrudur?","Monopolistik rekabet altýnda, pazarda birçok alýcý ve satýcý tek bir piyasa fiyatýnda iþlem yapar.","Monopolistik rekabet altýnda, pazarda sadece birkaç büyük satýcý bulunur.","Monopolistik bir piyasada, pazarlama stratejilerine pek zaman ayrýlmaz.","Satýcýlar ürünlerini alýcýlara farklýlaþtýrabilirler.","Monopolistik bir piyasada, fiyat önemli bir rekabet aracý haline gelir.","D"
"Producing a product or service and making it available to buyers requires building relationships not only with customers but also with key suppliers and resellers in the company's ________.","upstream partnerships","marketing channels","inventory providers","supply chain","downstream partnerships","D"
"The sets of firms that supply companies with the raw materials, components, parts, information, finances, and expertise needed to create products or services are known as ________.","retailers","upstream partners","distributors","downstream partners","distribution channels","B"
"Which of the following terms refers to the wholesalers and retailers that form a vital link between the firm and its customers?","factory-supply networks","downstream partners","resource banks","upstream partners","supply channels","B"
"________ play an important role in efficiently making products available to target markets in the needed varieties and quantities.","Virtual banks","Intermediaries","Price consultants","Uniform-delivery networks","Upstream partners","B"
"Which of the following is an example of an indirect marketing channel?","June Bride, which sells bridal gowns via its click-to-order online catalogs","Farmer Brown, who delivers fresh milk from his dairy to customers every morning","Wine & Dine, which sells its picnic baskets to select novelty stores across the country","Lifebelt Insurance, which sells life insurance through its door-to-door salespeople","Rhonda's Rental, which rents cars to people for the day","C"
"Plasticine Palace supplies its products exclusively to Arts & Crafts, a chain of stationery stores across the country. The chain then makes the plasticine available to end consumers. This is an example of ________.","a direct marketing channel","intensive distribution","an indirect marketing channel","disintermediation","extensive distribution","C"
"Which of the following is Giant Beanstalks' upstream partner?","the management of Greenleaf","the farmers of Riverdale","the trucks that carry Giant Beanstalks' products to Greenleaf","the end-consumers who buy the canned vegetables from Greenleaf","the logistics division of Giant Beanstalk","B"
"A company's total marketing communications mix consists of a specific blend of advertising, sales promotion, public relations, personal selling, and direct-marketing tools that the company uses to communicate customer value and build customer relationships. Which of the following terms best describes this set of communications tools?","the product mix","product line filling","the promotion mix","the price mix","horizontal diversification","C"
"Extel Inc., a home appliance manufacturer, uses sales representatives to sell its products to wholesalers and individual customers. This is an example of ________.","sales promotion","personal selling","public relations","direct and digital marketing","advertising","B"
"The use of short-term incentives to encourage the purchase or sale of a product or service is called ________.","direct and digital marketing","sales promotion","personal selling","public relations","publicity","B"
"Which of the following promotion tools involves building up a good corporate image and handling unfavorable stories and events?","sales promotion","personal selling","direct and digital marketing","public relations","advertising","D"
"Which of the following is a specialized and highly targeted media selection that an advertiser might use to reach smaller customer segments with personalized content?","radio","magazines","newspapers","network television","online social networks","E"
"Integrated marketing communications require a company's mass-market advertisements, Web site, e-mail, and personal selling communications to all ________.","have equal portions of the advertising budget","use independent communications directors","develop separate marketing objectives","engage the same target audience","deliver a clear, consistent, and compelling message","E"
"Delia's is a clothing retailer that targets teenage girls. The company runs coordinated promotions for its catalogs, Web site, and retail outlets. It uses the same models in its catalog, print ads, and Web site. Delia's works to make sure its public relations activities as well as its sales promotions harmonize with its advertising in all aspects. From this information, we can infer that Delia's is using ________.","buzz marketing","experiential marketing","integrated marketing communication","word-of-mouth marketing","database marketing","C"
"________ refers to the process of putting thought into symbolic form.","Sending","Encoding","Decoding","Receiving","Feedback","B"
"HP's advertising agency assembles words and illustrations into an advertisement that conveys the company's intended brand message. In the context of the communication process, HP is ________.","messaging","decoding","sending","encoding","responding","D"
